LaneID,Origin,Destination,Distance,Freight Type,CarrierID,CarrierType,BidPrice
Lane-0001,"Chicago, IL","Atlanta, GA",700,Dry Van,A001,Asset,1154.11
Lane-0002,"Chicago, IL","Boston, MA",1000,Dry Van,A001,Asset,1668.46
Lane-0003,"Chicago, IL","Charlotte, NC",750,Dry Van,A001,Asset,1301.91
Lane-0004,"Chicago, IL","Denver, CO",1000,Dry Van,A001,Asset,1693.76
Lane-0005,"Chicago, IL","Houston, TX",1100,Dry Van,A001,Asset,1666.38
Lane-0006,"Chicago, IL","Indianapolis, IN",180,Dry Van,A001,Asset,323.5
Lane-0007,"Chicago, IL","Jacksonville, FL",1000,Dry Van,A001,Asset,1646.42
Lane-0008,"Chicago, IL","Kansas City, MO",550,Dry Van,A001,Asset,1011.04
Lane-0009,"Chicago, IL","Las Vegas, NV",1750,Dry Van,A001,Asset,2785.52
Lane-0010,"Chicago, IL","Miami, FL",1400,Dry Van,A001,Asset,2414.05
Lane-0011,"Chicago, IL","Minneapolis, MN",400,Dry Van,A001,Asset,669.5
Lane-0012,"Chicago, IL","Nashville, TN",450,Dry Van,A001,Asset,777.03
Lane-0013,"Chicago, IL","New Orleans, LA",900,Dry Van,A001,Asset,1413.45
Lane-0014,"Chicago, IL","New York, NY",800,Dry Van,A001,Asset,1235.87
Lane-0015,"Chicago, IL","Phoenix, AZ",1750,Dry Van,A001,Asset,3059.63
Lane-0016,"Chicago, IL","Pittsburgh, PA",450,Dry Van,A001,Asset,760.7
Lane-0017,"Chicago, IL","Portland, OR",2100,Dry Van,A001,Asset,3702.87
Lane-0018,"Chicago, IL","Salt Lake City, UT",1400,Dry Van,A001,Asset,2591.28
Lane-0019,"Chicago, IL","San Antonio, TX",1200,Dry Van,A001,Asset,1732.03
Lane-0020,"Chicago, IL","Seattle, WA",2000,Dry Van,A001,Asset,3592.05
Lane-0021,"Chicago, IL","St. Louis, MO",300,Dry Van,A001,Asset,510.66
Lane-0022,"Dallas, TX","Atlanta, GA",800,Dry Van,A001,Asset,1316.92
Lane-0023,"Dallas, TX","Boston, MA",1550,Dry Van,A001,Asset,2762.17
Lane-0024,"Dallas, TX","Charlotte, NC",1000,Dry Van,A001,Asset,1611.38
Lane-0025,"Dallas, TX","Denver, CO",800,Dry Van,A001,Asset,1321.61
Lane-0026,"Dallas, TX","Houston, TX",250,Dry Van,A001,Asset,411.69
Lane-0027,"Dallas, TX","Indianapolis, IN",900,Dry Van,A001,Asset,1485.63
Lane-0028,"Dallas, TX","Jacksonville, FL",1000,Dry Van,A001,Asset,1693.4
Lane-0029,"Dallas, TX","Kansas City, MO",550,Dry Van,A001,Asset,817.64
Lane-0030,"Dallas, TX","Las Vegas, NV",1200,Dry Van,A001,Asset,1960.6
Lane-0031,"Dallas, TX","Miami, FL",1300,Dry Van,A001,Asset,2246.1
Lane-0032,"Dallas, TX","Minneapolis, MN",1000,Dry Van,A001,Asset,1634.09
Lane-0033,"Dallas, TX","Nashville, TN",650,Dry Van,A001,Asset,1090.67
Lane-0034,"Dallas, TX","New Orleans, LA",500,Dry Van,A001,Asset,897.9
Lane-0035,"Dallas, TX","New York, NY",1550,Dry Van,A001,Asset,2365.42
Lane-0036,"Dallas, TX","Phoenix, AZ",1050,Dry Van,A001,Asset,1589.9
Lane-0037,"Dallas, TX","Pittsburgh, PA",1200,Dry Van,A001,Asset,2040.75
Lane-0038,"Dallas, TX","Portland, OR",2000,Dry Van,A001,Asset,3027.4
Lane-0039,"Dallas, TX","Salt Lake City, UT",1200,Dry Van,A001,Asset,1958.13
Lane-0040,"Dallas, TX","San Antonio, TX",300,Dry Van,A001,Asset,546.4
Lane-0041,"Dallas, TX","Seattle, WA",2100,Dry Van,A001,Asset,3017.05
Lane-0042,"Dallas, TX","St. Louis, MO",600,Dry Van,A001,Asset,1056.1
Lane-0043,"Los Angeles, CA","Atlanta, GA",2150,Dry Van,A001,Asset,3627.28
Lane-0044,"Los Angeles, CA","Boston, MA",2900,Dry Van,A001,Asset,4885.06
Lane-0045,"Los Angeles, CA","Charlotte, NC",2400,Dry Van,A001,Asset,3840.18
Lane-0046,"Los Angeles, CA","Denver, CO",1050,Dry Van,A001,Asset,1853.98
Lane-0047,"Los Angeles, CA","Houston, TX",1550,Dry Van,A001,Asset,2424.29
Lane-0048,"Los Angeles, CA","Indianapolis, IN",2050,Dry Van,A001,Asset,3630.71
Lane-0049,"Los Angeles, CA","Jacksonville, FL",2400,Dry Van,A001,Asset,4044.54
Lane-0050,"Los Angeles, CA","Kansas City, MO",1600,Dry Van,A001,Asset,2526.48
Lane-0051,"Los Angeles, CA","Las Vegas, NV",270,Dry Van,A001,Asset,457.28
Lane-0052,"Los Angeles, CA","Miami, FL",2700,Dry Van,A001,Asset,4479.55
Lane-0053,"Los Angeles, CA","Minneapolis, MN",1900,Dry Van,A001,Asset,3160.41
Lane-0054,"Los Angeles, CA","Nashville, TN",2000,Dry Van,A001,Asset,3358.58
Lane-0055,"Los Angeles, CA","New Orleans, LA",1900,Dry Van,A001,Asset,2995.71
Lane-0056,"Los Angeles, CA","New York, NY",2800,Dry Van,A001,Asset,4733.02
Lane-0057,"Los Angeles, CA","Phoenix, AZ",400,Dry Van,A001,Asset,762.46
Lane-0058,"Los Angeles, CA","Pittsburgh, PA",2400,Dry Van,A001,Asset,4193.69
Lane-0059,"Los Angeles, CA","Portland, OR",950,Dry Van,A001,Asset,1566.14
Lane-0060,"Los Angeles, CA","Salt Lake City, UT",700,Dry Van,A001,Asset,1214.67
Lane-0061,"Los Angeles, CA","San Antonio, TX",1350,Dry Van,A001,Asset,2460.84
Lane-0062,"Los Angeles, CA","Seattle, WA",1200,Dry Van,A001,Asset,2082.9
Lane-0063,"Los Angeles, CA","St. Louis, MO",1800,Dry Van,A001,Asset,3141.45
